interface,direction,clause,service_title,method_name,overload_index,return_type,arguments,exceptions,signature
RTIambassador,federate-initiated,4.9,Join Federation Execution,joinFederationExecution,1,FederateHandle,String federateName; String federateType; String federationExecutionName; URL[] additionalFomModules,CouldNotCreateLogicalTimeFactory; FederateNameAlreadyInUse; FederationExecutionDoesNotExist; InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; SaveInProgress; RestoreInProgress; FederateAlreadyExecutionMember; NotConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"FederateHandle joinFederationExecution(String federateName, String federateType, String federationExecutionName, URL[] additionalFomModules) throws CouldNotCreateLogicalTimeFactory, FederateNameAlreadyInUse, FederationExecutionDoesNotExist, InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, SaveInProgress, RestoreInProgress, FederateAlreadyExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.9,Join Federation Execution,joinFederationExecution,2,FederateHandle,String federateType; String federationExecutionName; URL[] additionalFomModules,CouldNotCreateLogicalTimeFactory; FederationExecutionDoesNotExist; InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; SaveInProgress; RestoreInProgress; FederateAlreadyExecutionMember; NotConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"FederateHandle joinFederationExecution(String federateType, String federationExecutionName, URL[] additionalFomModules) throws CouldNotCreateLogicalTimeFactory, FederationExecutionDoesNotExist, InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, SaveInProgress, RestoreInProgress, FederateAlreadyExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.9,Join Federation Execution,joinFederationExecution,3,FederateHandle,String federateName; String federateType; String federationExecutionName,CouldNotCreateLogicalTimeFactory; FederateNameAlreadyInUse; FederationExecutionDoesNotExist; SaveInProgress; RestoreInProgress; FederateAlreadyExecutionMember; NotConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"FederateHandle joinFederationExecution(String federateName, String federateType, String federationExecutionName) throws CouldNotCreateLogicalTimeFactory, FederateNameAlreadyInUse, FederationExecutionDoesNotExist, SaveInProgress, RestoreInProgress, FederateAlreadyExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.9,Join Federation Execution,joinFederationExecution,4,FederateHandle,String federateType; String federationExecutionName,CouldNotCreateLogicalTimeFactory; FederationExecutionDoesNotExist; SaveInProgress; RestoreInProgress; FederateAlreadyExecutionMember; NotConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"FederateHandle joinFederationExecution(String federateType, String federationExecutionName) throws CouldNotCreateLogicalTimeFactory, FederationExecutionDoesNotExist, SaveInProgress, RestoreInProgress, FederateAlreadyExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.10,Resign Federation Execution,resignFederationExecution,1,void,ResignAction resignAction,InvalidResignAction; OwnershipAcquisitionPending; FederateOwnsAttributes; FederateNotExecutionMember; NotConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"void resignFederationExecution(ResignAction resignAction) throws InvalidResignAction, OwnershipAcquisitionPending, FederateOwnsAttributes, FederateNotExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.11,Register Federation Synchronization Point,registerFederationSynchronizationPoint,1,void,String synchronizationPointLabel; byte[] userSuppliedTag,SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void registerFederationSynchronizationPoint(String synchronizationPointLabel, byte[] userSuppliedTag) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.11,Register Federation Synchronization Point,registerFederationSynchronizationPoint,2,void,String synchronizationPointLabel; byte[] userSuppliedTag; FederateHandleSet synchronizationSet,InvalidFederateHandle; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void registerFederationSynchronizationPoint(String synchronizationPointLabel, byte[] userSuppliedTag, FederateHandleSet synchronizationSet) throws InvalidFederateHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.14,Synchronization Point Achieved,synchronizationPointAchieved,1,void,String synchronizationPointLabel,SynchronizationPointLabelNotAnnounced; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void synchronizationPointAchieved(String synchronizationPointLabel) throws SynchronizationPointLabelNotAnnounced, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.14,Synchronization Point Achieved,synchronizationPointAchieved,2,void,String synchronizationPointLabel; boolean successIndicator,SynchronizationPointLabelNotAnnounced; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void synchronizationPointAchieved(String synchronizationPointLabel, boolean successIndicator) throws SynchronizationPointLabelNotAnnounced, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.16,Request Federation Save,requestFederationSave,1,void,String label,SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void requestFederationSave(String label) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
